Date,Start,End,Venue,Address,Category,Description,URL,,,
5/3/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
5/10/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
5/17/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
5/24/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
5/31/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
6/7/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
6/14/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
6/21/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
6/25/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
10/5/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
10/12/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
10/16/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
10/26/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
11/2/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
11/6/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
11/16/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
11/23/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
11/30/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
12/7/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
12/14/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
12/21/2025,,,Old Town Saloon,"450 Clovis Ave, Clovis, CA 93612",Karaoke,Karaoke - DJ Melie Mel,http://oldtownsaloonclovis.com/event-schedule/,,,
